customer_id,age,annual_income,employment_length_years,total_debt_outstanding,debt_to_income_ratio,credit_utilization_ratio,num_open_accounts,missed_payments_history,loan_amount_requested,loan_purpose,creditworthiness_target
CUST_100000,59,44869.75,15.4,27044.63,0.6027,0.22,9,3,36654.57,Car,0
CUST_100001,49,33265.85,11.0,12876.27,0.3871,0.2236,3,2,19449.2,Car,1
CUST_100002,35,85564.29,1.8,62736.8,0.7332,0.1725,9,0,89575.29,Personal,1
CUST_100003,63,42008.67,14.4,28029.86,0.6672,0.0471,7,1,17800.92,Car,1
CUST_100004,28,24119.59,6.3,2453.74,0.1017,0.1819,4,0,3179.05,Business,1
CUST_100005,41,101887.91,14.9,55722.52,0.5469,0.752,9,2,94089.42,Personal,0
CUST_100006,59,111382.2,12.9,26537.97,0.2383,0.1611,8,0,83273.15,Home,1
CUST_100007,39,43257.29,9.7,21456.25,0.496,0.1325,1,0,25000.7,Home,1
CUST_100008,43,18542.32,15.9,15121.46,0.8155,0.1687,4,2,8442.64,Car,0
CUST_100009,31,37083.25,4.5,27932.94,0.7532,0.2453,5,0,40397.77,Car,1
CUST_100010,31,88227.8,1.2,32963.06,0.3736,0.2152,7,0,20643.5,Home,1
CUST_100011,44,119421.81,3.7,33821.58,0.2832,0.3552,7,0,30511.09,Car,1
CUST_100012,56,25237.23,16.5,5994.46,0.2375,0.1295,10,1,2935.39,Education,1
CUST_100013,60,18119.48,31.1,8625.09,0.476,0.8432,12,1,3258.24,Car,1
CUST_100014,44,109429.09,14.0,15473.14,0.1414,0.2084,4,1,114135.66,Personal,1
CUST_100015,23,37199.46,0.4,18206.16,0.4894,0.4664,14,0,36195.62,Education,1
CUST_100016,42,50116.39,5.1,2559.29,0.0511,0.2079,4,2,10657.94,Personal,1
CUST_100017,22,169983.52,1.3,52538.46,0.3091,0.4971,9,0,162809.68,Education,1
CUST_100018,44,18099.76,16.5,4089.59,0.2259,0.6079,11,0,14573.1,Business,1
CUST_100019,64,62026.26,23.4,51294.17,0.827,0.8578,6,0,32640.3,Home,1
CUST_100020,50,18464.77,16.5,11665.93,0.6318,0.3053,12,2,3556.78,Personal,0
CUST_100021,58,36183.94,4.6,11930.67,0.3297,0.8023,13,0,27593.4,Car,1
CUST_100022,22,88291.27,1.4,10972.49,0.1243,0.4485,7,1,90378.77,Education,0
CUST_100023,41,40570.31,13.7,18801.92,0.4634,0.4625,5,2,22832.18,Education,0
CUST_100024,53,279233.41,9.3,61643.09,0.2208,0.1726,10,0,158276.86,Home,1
CUST_100025,32,51848.02,7.2,24842.65,0.4791,0.7939,6,1,52332.87,Car,0
CUST_100026,42,32431.78,5.5,23295.42,0.7183,0.8294,11,0,10756.08,Education,0
CUST_100027,64,26187.18,5.6,14210.06,0.5426,0.4215,9,0,7586.83,Personal,1
CUST_100028,45,34421.28,6.0,19173.71,0.557,0.273,6,0,29779.16,Home,1
CUST_100029,69,35972.91,11.0,17368.59,0.4828,0.4671,8,0,29573.74,Car,1
CUST_100030,47,18203.48,9.1,14413.74,0.7918,0.9071,7,0,20084.61,Car,1
CUST_100031,62,35761.19,16.5,28448.82,0.7955,0.0591,5,0,16724.74,Car,1
CUST_100032,48,43082.98,12.8,19825.86,0.4602,0.5152,6,0,13881.38,Personal,1
CUST_100033,36,72725.62,6.9,21425.52,0.2946,0.4925,7,0,41578.15,Car,1
CUST_100034,35,63115.64,4.3,26361.48,0.4177,0.2342,9,0,32957.05,Home,1
